AffiliationKey;Affiliation;Institution;Country
0049SOMNMUCOE0KPM;"School of Mechatronics; Northern Malaysia University; College of Engineering; 01000 Kangar; Perils; Malaysia";Universiti Utara Malaysia;Malaysia
0050DOCSUBBM0US;"Department of Computer Science; UMass Boston; Boston; MA 02125; United States";UMass Boston;United States
0051WSUADO4US;"Wright State University; ATRC; Dayton; OH 45435; United States";Wright State University;United States
0052SUONNI;"Second University of Naples; Naples; Italy";Second University of Naples;Italy
0053AIDO4US;"AIIS Inc.; Dayton; OH 45458; United States";AIIS Inc.;United States
0054QUBBB1URUK;"Queen's University Belfast; Belfast BT7 1NN; University Road; United Kingdom";Queen's University Belfast;United Kingdom
0055LU6CDC6AF;"LASMEA; UMR 6602 Campus des Cézeaux; 63177 Aubiére; France";LASMEA;France
0056CVAMLUOGCRDD7S;"Computer Vision and Multimedia Lab.; University of Geneva; Carouge; Route de Drize 7; Switzerland";University of Geneva;Switzerland
0057LDIUOASGS;"Laboratoire d'Informatique Industrielle; University of Applied Science; Geneva; Switzerland";University of Applied Science;Switzerland
0058UFDEDRDJ(B;"Universidade Federal do Estado do Rio de Janeiro (UNIRIO); Brazil";Universidade Federal do Estado do Rio de Janeiro (UNIRIO);Brazil
0059FIB;"Faculdades IBMEC; Brazil";IBMEC;Brazil
0060IPB;"IAG PUC; Brazil";Pontifical Catholic University of Rio Grande do Sul;Brazil
0061HCLB;"Holden Comunicação Ltda; Brazil";University of São Paulo;Brazil
0062IONASGGUOT;"Institute of Navigation and Satellite Geodesy; Graz University of Technology";Graz University of Technology;Austria
0063CSATLADOCSUSULUUS;"Computer Science Assistive Technology Laboratory and Department of Computer Science; Utah State University; Logan; UT; United States";Utah State University;United States
0064DOMASUSULUUS;"Department of Mathematics and Statistics; Utah State University; Logan; UT; United States";Utah State University;United States
0065DOCEUOP4PRDRFP;"Department of Communication Engineering; University of Porto; 4200-465 Porto; Rua Dr. Roberto Frias; Portugal";University of Porto;Portugal
0066DOIATUOAAG;"Department of Informatics and Telecommunications; University of Athens; Athens; Greece";University of Athens;Greece
0067SERISFC92FSUS;"Smith-Kettlewell Eye Research Institute; San Francisco CA 94115; 2318 Fillmore St.; United States";Smith-Kettlewell Eye Research Institute;United States
0068IDSIERC-F2UPEMC7PC04PJF;"Institut des Systèmes Intelligents et Robotique CNRS - FRE 2507; Université Pierre et Marie Curie; 75252 Paris Cedex 05; 4 Place Jussieu; France";Institut des Systèmes Intelligents et Robotique;France
0069DOMAIESQUMPB3O;"Department of Mechanical and Industrial Engineering; Sultan Qaboos University; Muscat; PO Box 33; Oman";Sultan Qaboos University;Oman
0070DOCSUOBBUK;"Department of Computer Science; University of Bristol; Bristol; United Kingdom";University of Bristol;United Kingdom
0071DOCSUOWSSUK;"Department of Computer Science; University of Wales Swansea; Swansea; United Kingdom";Swansea University;United Kingdom
0072DOEUOMMT3US;"Department of EECE; University of Memphis; Memphis; TN 38152; United States";University of Memphis;United States
0073WMUDOBALVSKM41WMAUS;"Western Michigan University; Department of Blindness and Low Vision Studies; Kalamazoo; MI 49002-5218; 1903 W. Michigan Avenue; United States";Western Michigan University;United States
0074EEDCCCUONYNYN1US;"Electrical Engineering Department; City College; City University of New York; New York; NY 10031; United States";City College of New York;United States
0075ARGRILINYN11E5SUS;"Arlene R Gordon Research Institute; Lighthouse International; New York; NY 10022; 111 East 59th Street; United States";Lighthouse International;United States
0076UPDMS;"Universidad Politécnica de Madrid; Spain";Universidad Politécnica de Madrid;Spain
0077VLIFSAR(UOTA(AF8FP;"Vision Laboratory; Institute for Systems and Robotics (ISR); University of the Algarve (ISE and FCT); 8005-139 Faro; Portugal";University of the Algarve;Portugal
